module,type,name,res_id,src,value,comments
account,model,"ir.model.fields,help",account.field_account_invoice_state," * The 'Draft' status is used when a user is encoding a new and unconfirmed Invoice.
 * The 'Open' status is used when user creates invoice, an invoice number is generated. It stays in the open status till the user pays the invoice.
 * The 'Paid' status is set automatically when the invoice is paid. Its related journal entries may or may not be reconciled.
 * The 'Cancelled' status is used when user cancel invoice.",,
account,model,"ir.model.fields,field_description",account.field_account_chart_template_code_digits,# of Digits,,
account,model,"ir.model.fields,field_description",account.field_wizard_multi_charts_accounts_code_digits,# of Digits,,
account,model,"ir.model.fields,field_description",account.field_res_config_settings_code_digits,# of Digits *,,
account,model,"ir.model.fields,field_description",account.field_account_invoice_report_nbr,# of Lines,,
account,model,"ir.model.fields,field_description",account.field_account_move_line_reconcile_trans_nbr,# of Transaction,,
account,model,"mail.template,report_name",account.mail_template_data_payment_receipt,"${(object.name or '').replace('/','-')}",,
account,model,"mail.template,subject",account.email_template_edi_invoice,${object.company_id.name} Invoice (Ref ${object.number or 'n/a'}),,
account,model,"mail.template,subject",account.mail_template_data_payment_receipt,${object.company_id.name} Payment Receipt (Ref ${object.name or 'n/a' }),,
account,model,"mail.template,subject",account.mail_template_data_notification_email_account_invoice,${object.subject},,
account,code,addons/account/models/account_bank_statement.py,467,%d transactions were automatically reconciled.,,
account,code,addons/account/models/account.py,819,%s (Copy),,
account,code,addons/account/models/account.py,213,%s (copy),,
account,code,addons/account/models/account.py,494,%s (copy),,
account,code,addons/account/models/account.py,495,%s (copy),,
account,model,"ir.ui.view,arch_db",account.report_invoice_document,&amp;nbsp;<span>on</span>,,
account,model,"ir.ui.view,arch_db",account.account_planner,", if accounting or purchase is installed",,
account,model,"ir.ui.view,arch_db",account.invoice_supplier_form,- First Number:,,
account,model,"ir.ui.view,arch_db",account.view_account_form,-> Reconcile,,
account,model,"ir.ui.view,arch_db",account.view_move_line_form,-> View partially reconciled entries,,
account,code,addons/account/models/account_bank_statement.py,468,1 transaction was automatically reconciled.,,
account,model,"account.payment.term,name",account.account_payment_term_15days,15 Days,,
account,model,"account.payment.term,name",account.account_payment_term_net,30 Net Days,,
account,model,"account.payment.term,name",account.account_payment_term_advance,30% Advance End of Following Month,,
account,model,"ir.ui.view,arch_db",account.account_planner,"5) For setup, you will need the following information:",,
account,model,"ir.ui.view,arch_db",account.report_generalledger,: General ledger,,
account,code,addons/account/models/account.py,564,: Refund,,
account,model,"ir.ui.view,arch_db",account.report_trialbalance,: Trial Balance,,
account,model,"mail.template,body_html",account.mail_template_data_payment_receipt,"<?xml version=""1.0""?>
<data><p>Dear ${object.partner_id.name},</p>
<p>Thank you for your payment.<br/>Here is your payment receipt <strong>${(object.name or '').replace('/','-')}</strong> amounting to <strong>${format_amount(object.amount, object.currency_id)}</strong> from ${object.company_id.name}.</p>
<p>If you have any questions, please do not hesitate to contact us.</p>
<p>Best regards,
% if user and user.signature:
${user.signature | safe}
% endif
</p>
</data>",,
account,model,"mail.template,body_html",account.mail_template_data_notification_email_account_invoice,"<div>
% set record = ctx.get('record')
% set company = record and record.company_id or ctx.get('company')
<table border=""0"" width=""100%"" cellpadding=""0"" bgcolor=""#ededed"" style=""padding: 20px; background-color: #ededed; border-collapse:separate;"" summary=""o_mail_notification"">
<tbody>
    <!-- HEADER -->
    <tr>
        <td align=""center"" style=""min-width: 590px;"">
            <table width=""590"" border=""0"" cellpadding=""0"" bgcolor=""#875A7B"" style=""min-width: 590px; background-color: rgb(135,90,123); padding: 20px; border-collapse:separate;"">
                <tr>
                    <td valign=""middle"">
                        <span style=""font-size:20px; color:white; font-weight: bold;"">
                            Invoice ${object.record_name}
                        </span>
                    </td>
                    <td valign=""middle"" align=""right"">
                        <img src=""/logo.png?company=${company.id}"" style=""padding: 0px; margin: 0px; height: auto; width: 80px;"" alt=""${company.name}""/>
                    </td>
                </tr>
          </table>
    </td>
  </tr>
  <!-- CONTENT -->
  <tr>
        <td align=""center"" style=""min-width: 590px;"">
            <table width=""590"" border=""0"" cellpadding=""0"" bgcolor=""#ffffff"" style=""min-width: 590px; background-color: rgb(255, 255, 255); padding: 20px; border-collapse:separate;"">
                <tbody>
                    <td valign=""top"" style=""font-family:Arial,Helvetica,sans-serif; color: #555; font-size: 14px;"">
                        ${object.body | safe}
                    </td>
                </tbody>
            </table>
        </td>
    </tr>
    <!-- FOOTER -->
    <tr>
        <td align=""center"" style=""min-width: 590px;"">
            <table width=""590"" border=""0"" cellpadding=""0"" bgcolor=""#875A7B"" style=""min-width: 590px; background-color: rgb(135,90,123); padding: 20px; border-collapse:separate;"">
                <tr>
                    <td valign=""middle"" align=""left"" style=""color: #fff; padding-top: 10px; padding-bottom: 10px; font-size: 12px;"">
                        ${company.name}<br/>
                        ${company.phone or ''}
                    </td>
                    <td valign=""middle"" align=""right"" style=""color: #fff; padding-top: 10px; padding-bottom: 10px; font-size: 12px;"">
                        % if company.email:
                        <a href=""mailto:${company.email}"" style=""text-decoration:none; color: white;"">${company.email}</a><br/>
                        % endif
                        % if company.website:
                        <a href=""${company.website}"" style=""text-decoration:none; color: white;"">
                        ${company.website}
                        </a>
                        % endif
                    </td>
                </tr>
            </table>
        </td>
    </tr>
    <tr>
        <td align=""center"">
            Powered by <a target=""_blank"" href=""https://www.odoo.com"">Odoo</a>.
        </td>
    </tr>
</tbody>
</table>
</div>",,
account,model,"mail.template,body_html",account.email_template_edi_invoice,"<div>
<p>Dear ${object.partner_id.name}
% set access_action = object.with_context(force_website=True).get_access_action()
% set is_online = access_action and access_action['type'] == 'ir.actions.act_url'
% set access_url = object.get_mail_url()

% if object.partner_id.parent_id:
    (<i>${object.partner_id.parent_id.name}</i>)
% endif
,</p>
<p>Here is, in attachment, your 
% if object.number:
invoice <strong>${object.number}</strong>
% else:
invoice
% endif
% if object.origin:
(with reference: ${object.origin})
% endif
amounting in <strong>${format_amount(object.amount_total, object.currency_id)}</strong>
from ${object.company_id.name}.
</p>

% if is_online:
    <br/><br/>
    <center>
      <a href=""${access_url}"" style=""background-color: #1abc9c; padding: 20px; text-decoration: none; color: #fff; border-radius: 5px; font-size: 16px;"" class=""o_default_snippet_text"">View Invoice</a>
    </center>
% endif
    <br/><br/>

% if object.state=='paid':
    <p>This invoice is already paid.</p>
% else:
    <p>Please remit payment at your earliest convenience.</p>
% endif

<p>Thank you,</p>
<p style=""color:#888888"">
% if object.user_id and object.user_id.signature:
    ${object.user_id.signature | safe}
% endif
</p>
</div>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""fa fa-arrow-circle-o-down""/> Install Now",,
account,model,"ir.ui.view,arch_db",account.res_config_settings_view_form,"<span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific."" groups=""base.group_multi_company""/>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""fa""/> Invite Your Users",,
account,model,"ir.ui.view,arch_db",account.portal_my_invoices,"<span class=""label label-default""><i class=""fa fa-fw fa-check""/><span class=""hidden-xs""> Paid</span></span>",,
account,model,"ir.ui.view,arch_db",account.portal_my_invoices,"<span class=""label label-default""><i class=""fa fa-fw fa-remove""/><span class=""hidden-xs""> Cancelled</span></span>",,
account,model,"ir.ui.view,arch_db",account.portal_my_invoices,"<span class=""label label-info""><i class=""fa fa-fw fa-clock-o""/><span class=""hidden-xs""> Waiting for Payment</span></span>",,
account,model,"ir.ui.view,arch_db",account.partner_view_buttons,"<span class=""o_stat_text"">Invoiced</span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <span class=""fa"" data-icon=""""/>
                                        <strong>Import a file</strong><br/>
                                        <span class=""small"">Recommended if &gt;100 products</span>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <span class=""fa"" data-icon=""""/>
                                        <strong>Import</strong><br/>
                                        <span class=""small"">&gt; 200 contacts</span>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <span class=""fa"" data-icon=""""/>
                                        <strong> Create manually</strong><br/>
                                        <span class=""small"">&lt; 200 contacts</span>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <span class=""fa"" data-icon=""""/>
                                        <strong> Create manually</strong><br/>
                                        <span class=""small"">Recommended if &lt;100 products</span>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Accountant</strong> (Advanced access)
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Advisor</strong> (Full access)
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Billing</strong> (Limited access)
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Customer follow-up</strong>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Invoice payment by Check</strong>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Invoice payment by Wire Transfer</strong>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Pay your bills</strong>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Reconcile Bank Statements</strong>
                                    </span>",,
